"novars" "variable" "value"
"213" 32 "pop1" 27134.3545860376
"214" 33 "pop1" 27142.5415853424
"215" 34 "pop1" 27151.0206873148
"216" 35 "pop1" 27158.9662148681
"217" 36 "pop1" 27158.9662148681
"218" 37 "pop1" 27159.1355575131
"219" 38 "pop1" 27165.7792159137
"220" 39 "pop1" 27175.519356615
"221" 40 "pop1" 27185.1787423114
"222" 41 "pop1" 27193.2796115991
"223" 42 "pop1" 27189.5064101505
"224" 43 "pop1" 27195.9495218928
"225" 44 "pop1" 27198.4029899325
"226" 45 "pop1" 27205.9440725491
"227" 46 "pop1" 27215.9220232718
"228" 47 "pop1" 27225.5590656328
"229" 48 "pop1" 27235.3777594295
"230" 49 "pop1" 27236.3213785953
"231" 50 "pop1" 27243.4064588929
"232" 51 "pop1" 27253.3540451194
"233" 52 "pop1" 27253.3540451194
"234" 53 "pop1" 27250.5487702865
"235" 54 "pop1" 27250.9341622637
"236" 55 "pop1" 27258.3773683206
"237" 56 "pop1" 27268.4630859005
"238" 57 "pop1" 27277.9023037613
"239" 58 "pop1" 27287.1281521816
"240" 59 "pop1" 27297.1861661523
"241" 0 "pop5" 601.773477792023
"242" 1 "pop5" 595.10761016419
"243" 2 "pop5" 605.005265049703
"244" 3 "pop5" 615.089073633846
"245" 4 "pop5" 606.708246505526
"246" 5 "pop5" 611.094486538191
"247" 6 "pop5" 615.917853056562
"248" 7 "pop5" 624.974140669872
"249" 8 "pop5" 633.254211160988
"250" 9 "pop5" 640.798381422755
"251" 10 "pop5" 642.669161059241
"252" 11 "pop5" 652.483517732127
"253" 12 "pop5" 653.999012788492
"254" 13 "pop5" 662.939637969942
"255" 14 "pop5" 672.155460627273
"256" 15 "pop5" 681.354613764084
"257" 16 "pop5" 690.210084269579
"258" 17 "pop5" 699.70791823696
"259" 18 "pop5" 708.585825077479
"260" 19 "pop5" 717.000513394942
"261" 20 "pop5" 721.769982270446
"262" 21 "pop5" 731.842419355942
"263" 22 "pop5" 739.802852425418
"264" 23 "pop5" 749.364151608358
"265" 24 "pop5" 759.449195895793
"266" 25 "pop5" 769.533374048166
"267" 26 "pop5" 777.837222268937
"268" 27 "pop5" 786.368030166567
"269" 28 "pop5" 791.783270331071
"270" 29 "pop5" 799.215068647529
"271" 30 "pop5" 809.272567627055
"272" 31 "pop5" 818.415427687685
"273" 32 "pop5" 827.517590360311
"274" 33 "pop5" 837.601672283065
"275" 34 "pop5" 847.344631605637
"276" 35 "pop5" 855.161568130605
"277" 36 "pop5" 864.637980807241
"278" 37 "pop5" 867.429659010375
"279" 38 "pop5" 876.814823132532
"280" 39 "pop5" 885.820895674648
"281" 40 "pop5" 885.820895674648
"282" 41 "pop5" 895.279026402829
"283" 42 "pop5" 904.96001758742
"284" 43 "pop5" 912.608414443132
"285" 44 "pop5" 920.831681781489
"286" 45 "pop5" 930.894111877188
"287" 46 "pop5" 939.927596288764
"288" 47 "pop5" 950.013413313617
"289" 48 "pop5" 954.867436857986
"290" 49 "pop5" 962.209040029698
"291" 50 "pop5" 969.713606448805
"292" 51 "pop5" 978.284169964388
"293" 52 "pop5" 978.284169964388
"294" 53 "pop5" 987.701525911978
"295" 54 "pop5" 993.927819883766
"296" 55 "pop5" 1003.20887816142
"297" 56 "pop5" 1013.29475400533
"298" 57 "pop5" 1023.24830168984
"299" 58 "pop5" 1023.24830168984
"300" 59 "pop5" 1031.83983486318
